customer_id,gender,age,tenure,monthlycharges,paymentmethod,churn,industry
TEL_7590-VHVEG,0,39,1,29.85,5,0,2
TEL_5575-GNVDE,1,43,34,56.95,6,0,2
TEL_3668-QPYBK,1,24,2,53.85,6,1,2
TEL_7795-CFOCW,1,23,45,42.3,0,0,2
TEL_9237-HQITU,0,21,2,70.7,5,1,2
TEL_9305-CDSKC,0,27,8,99.65,5,1,2
TEL_1452-KIOVK,1,47,22,89.1,3,0,2
TEL_6713-OKOMC,0,49,10,29.75,6,0,2
TEL_7892-POOKP,0,55,28,104.8,5,1,2
TEL_6388-TABGU,1,22,62,56.15,0,0,2
TEL_9763-GRSKD,1,42,13,49.95,6,0,2
TEL_7469-LKBCI,1,48,16,18.95,3,0,2
TEL_8091-TTVAX,1,20,58,100.35,3,0,2
TEL_0280-XJGEX,1,49,49,103.7,0,1,2
TEL_5129-JLPIS,1,21,25,105.5,5,0,2
TEL_3655-SNQYZ,0,39,69,113.25,3,0,2
TEL_8191-XWSZG,0,60,52,20.65,6,0,2
TEL_9959-WOFKT,1,26,71,106.7,0,0,2
TEL_4190-MFLUW,0,34,10,55.2,3,1,2
TEL_4183-MYFRB,0,57,21,90.05,5,0,2
TEL_8779-QRDMV,1,60,1,39.65,5,1,2
TEL_1680-VDCWW,1,26,12,19.8,0,0,2
TEL_1066-JKSGK,1,54,1,20.15,6,1,2
TEL_3638-WEABW,0,63,58,59.9,3,0,2
TEL_6322-HRPFA,1,56,49,59.6,3,0,2
TEL_6865-JZNKO,0,31,30,55.3,0,0,2
TEL_6467-CHFZW,1,25,47,99.35,5,1,2
TEL_8665-UTDHZ,1,20,1,30.2,5,1,2
TEL_5248-YGIJN,1,39,72,90.25,3,0,2
TEL_8773-HHUOZ,0,56,17,64.7,6,1,2
TEL_3841-NFECX,0,20,71,96.35,3,0,2
TEL_4929-XIHVW,1,40,2,95.5,3,0,2
TEL_6827-IEAUQ,0,66,27,66.15,6,0,2
TEL_7310-EGVHZ,1,22,1,20.2,0,0,2
TEL_3413-BMNZE,1,51,1,45.25,0,0,2
TEL_6234-RAAPL,0,27,72,99.9,0,0,2
TEL_6047-YHPVI,1,68,5,69.7,5,1,2
TEL_6572-ADKRS,0,56,46,74.8,3,0,2
TEL_5380-WJKOV,1,58,34,106.35,5,1,2
TEL_8168-UQWWF,0,39,11,97.85,0,1,2
TEL_8865-TNMNX,1,46,10,49.55,6,0,2
TEL_9489-DEDVP,0,40,70,69.2,3,0,2
TEL_9867-JCZSP,0,23,17,20.75,6,0,2
TEL_4671-VJLCL,0,35,63,79.85,3,0,2
TEL_4080-IIARD,0,66,13,76.2,5,0,2
TEL_3714-NTNFO,0,56,49,84.5,5,0,2
TEL_5948-UJZLF,1,23,2,49.25,6,0,2
TEL_7760-OYPDY,0,31,2,80.65,5,1,2
TEL_7639-LIAYI,1,28,52,79.75,3,0,2
TEL_2954-PIBKO,0,53,69,64.15,3,0,2
TEL_8012-SOUDQ,0,53,43,90.25,5,0,2
TEL_9420-LOJKX,0,22,15,99.1,3,1,2
TEL_6575-SUVOI,0,39,25,69.5,3,0,2
TEL_7495-OOKFY,0,60,8,80.65,3,1,2
TEL_4667-QONEA,0,29,60,74.85,3,0,2
TEL_1658-BYGOY,1,49,18,95.45,5,1,2
TEL_8769-KKTPH,0,27,63,99.65,3,0,2
TEL_5067-XJQFU,1,21,66,108.45,5,0,2
TEL_3957-SQXML,0,50,34,24.95,3,0,2
TEL_5954-BDFSG,0,40,72,107.5,3,0,2
TEL_0434-CSFON,0,47,47,100.5,5,0,2
TEL_1215-FIGMP,1,46,60,89.9,0,0,2
TEL_0526-SXDJP,1,66,72,42.1,0,0,2
TEL_0557-ASKVU,0,61,18,54.4,3,0,2
TEL_5698-BQJOH,0,20,9,94.4,5,1,2
TEL_5122-CYFXA,0,34,3,75.3,5,0,2
TEL_8627-ZYGSZ,1,60,47,78.9,5,0,2
