customer_id,gender,age,tenure,monthlycharges,paymentmethod,churn,industry
TEL_7590-VHVEG,Female,39,1,29.85,Electronic check,0.0,Telecom
TEL_5575-GNVDE,Male,43,34,56.95,Mailed check,0.0,Telecom
TEL_3668-QPYBK,Male,24,2,53.85,Mailed check,1.0,Telecom
TEL_7795-CFOCW,Male,23,45,42.3,Bank transfer (automatic),0.0,Telecom
TEL_9237-HQITU,Female,21,2,70.7,Electronic check,1.0,Telecom
TEL_9305-CDSKC,Female,27,8,99.65,Electronic check,1.0,Telecom
TEL_1452-KIOVK,Male,47,22,89.1,Credit card (automatic),0.0,Telecom
TEL_6713-OKOMC,Female,49,10,29.75,Mailed check,0.0,Telecom
TEL_7892-POOKP,Female,55,28,104.8,Electronic check,1.0,Telecom
TEL_6388-TABGU,Male,22,62,56.15,Bank transfer (automatic),0.0,Telecom
TEL_9763-GRSKD,Male,42,13,49.95,Mailed check,0.0,Telecom
TEL_7469-LKBCI,Male,48,16,18.95,Credit card (automatic),0.0,Telecom
TEL_8091-TTVAX,Male,20,58,100.35,Credit card (automatic),0.0,Telecom
TEL_0280-XJGEX,Male,49,49,103.7,Bank transfer (automatic),1.0,Telecom
TEL_5129-JLPIS,Male,21,25,105.5,Electronic check,0.0,Telecom
TEL_3655-SNQYZ,Female,39,69,113.25,Credit card (automatic),0.0,Telecom
TEL_8191-XWSZG,Female,60,52,20.65,Mailed check,0.0,Telecom
TEL_9959-WOFKT,Male,26,71,106.7,Bank transfer (automatic),0.0,Telecom
TEL_4190-MFLUW,Female,34,10,55.2,Credit card (automatic),1.0,Telecom
TEL_4183-MYFRB,Female,57,21,90.05,Electronic check,0.0,Telecom
TEL_8779-QRDMV,Male,60,1,39.65,Electronic check,1.0,Telecom
TEL_1680-VDCWW,Male,26,12,19.8,Bank transfer (automatic),0.0,Telecom
TEL_1066-JKSGK,Male,54,1,20.15,Mailed check,1.0,Telecom
TEL_3638-WEABW,Female,63,58,59.9,Credit card (automatic),0.0,Telecom
TEL_6322-HRPFA,Male,56,49,59.6,Credit card (automatic),0.0,Telecom
TEL_6865-JZNKO,Female,31,30,55.3,Bank transfer (automatic),0.0,Telecom
TEL_6467-CHFZW,Male,25,47,99.35,Electronic check,1.0,Telecom
TEL_8665-UTDHZ,Male,20,1,30.2,Electronic check,1.0,Telecom
TEL_5248-YGIJN,Male,39,72,90.25,Credit card (automatic),0.0,Telecom
TEL_8773-HHUOZ,Female,56,17,64.7,Mailed check,1.0,Telecom
TEL_3841-NFECX,Female,20,71,96.35,Credit card (automatic),0.0,Telecom
TEL_4929-XIHVW,Male,40,2,95.5,Credit card (automatic),0.0,Telecom
TEL_6827-IEAUQ,Female,66,27,66.15,Mailed check,0.0,Telecom
TEL_7310-EGVHZ,Male,22,1,20.2,Bank transfer (automatic),0.0,Telecom
TEL_3413-BMNZE,Male,51,1,45.25,Bank transfer (automatic),0.0,Telecom
TEL_6234-RAAPL,Female,27,72,99.9,Bank transfer (automatic),0.0,Telecom
TEL_6047-YHPVI,Male,68,5,69.7,Electronic check,1.0,Telecom
TEL_6572-ADKRS,Female,56,46,74.8,Credit card (automatic),0.0,Telecom
TEL_5380-WJKOV,Male,58,34,106.35,Electronic check,1.0,Telecom
TEL_8168-UQWWF,Female,39,11,97.85,Bank transfer (automatic),1.0,Telecom
TEL_8865-TNMNX,Male,46,10,49.55,Mailed check,0.0,Telecom
TEL_9489-DEDVP,Female,40,70,69.2,Credit card (automatic),0.0,Telecom
TEL_9867-JCZSP,Female,23,17,20.75,Mailed check,0.0,Telecom
TEL_4671-VJLCL,Female,35,63,79.85,Credit card (automatic),0.0,Telecom
TEL_4080-IIARD,Female,66,13,76.2,Electronic check,0.0,Telecom
TEL_3714-NTNFO,Female,56,49,84.5,Electronic check,0.0,Telecom
TEL_5948-UJZLF,Male,23,2,49.25,Mailed check,0.0,Telecom
TEL_7760-OYPDY,Female,31,2,80.65,Electronic check,1.0,Telecom
TEL_7639-LIAYI,Male,28,52,79.75,Credit card (automatic),0.0,Telecom
TEL_2954-PIBKO,Female,53,69,64.15,Credit card (automatic),0.0,Telecom
TEL_8012-SOUDQ,Female,53,43,90.25,Electronic check,0.0,Telecom
TEL_9420-LOJKX,Female,22,15,99.1,Credit card (automatic),1.0,Telecom
TEL_6575-SUVOI,Female,39,25,69.5,Credit card (automatic),0.0,Telecom
TEL_7495-OOKFY,Female,60,8,80.65,Credit card (automatic),1.0,Telecom
TEL_4667-QONEA,Female,29,60,74.85,Credit card (automatic),0.0,Telecom
TEL_1658-BYGOY,Male,49,18,95.45,Electronic check,1.0,Telecom
TEL_8769-KKTPH,Female,27,63,99.65,Credit card (automatic),0.0,Telecom
TEL_5067-XJQFU,Male,21,66,108.45,Electronic check,0.0,Telecom
TEL_3957-SQXML,Female,50,34,24.95,Credit card (automatic),0.0,Telecom
TEL_5954-BDFSG,Female,40,72,107.5,Credit card (automatic),0.0,Telecom
TEL_0434-CSFON,Female,47,47,100.5,Electronic check,0.0,Telecom
TEL_1215-FIGMP,Male,46,60,89.9,Bank transfer (automatic),0.0,Telecom
TEL_0526-SXDJP,Male,66,72,42.1,Bank transfer (automatic),0.0,Telecom
TEL_0557-ASKVU,Female,61,18,54.4,Credit card (automatic),0.0,Telecom
TEL_5698-BQJOH,Female,20,9,94.4,Electronic check,1.0,Telecom
TEL_5122-CYFXA,Female,34,3,75.3,Electronic check,0.0,Telecom
TEL_8627-ZYGSZ,Male,60,47,78.9,Electronic check,0.0,Telecom
TEL_3410-YOQBQ,Female,25,31,79.2,Mailed check,0.0,Telecom
TEL_3170-NMYVV,Female,24,50,20.15,Bank transfer (automatic),0.0,Telecom
TEL_7410-OIEDU,Male,49,10,79.85,Mailed check,0.0,Telecom
TEL_2273-QCKXA,Male,64,1,49.05,Mailed check,0.0,Telecom
TEL_0731-EBJQB,Female,35,52,20.4,Electronic check,0.0,Telecom
TEL_1891-QRQSA,Male,39,64,111.6,Bank transfer (automatic),0.0,Telecom
TEL_8028-PNXHQ,Male,69,62,24.25,Bank transfer (automatic),0.0,Telecom
TEL_5630-AHZIL,Female,23,3,64.5,Bank transfer (automatic),0.0,Telecom
TEL_2673-CXQEU,Female,64,56,110.5,Electronic check,0.0,Telecom
TEL_6416-JNVRK,Female,35,46,55.65,Credit card (automatic),0.0,Telecom
TEL_5590-ZSKRV,Female,43,8,54.65,Mailed check,0.0,Telecom
TEL_0191-ZHSKZ,Male,65,30,74.75,Electronic check,0.0,Telecom
TEL_3887-PBQAO,Female,56,45,25.9,Credit card (automatic),0.0,Telecom
TEL_5919-TMRGD,Female,70,1,79.35,Electronic check,1.0,Telecom
TEL_8108-UXRQN,Female,26,11,50.55,Electronic check,0.0,Telecom
TEL_9191-MYQKX,Female,63,7,75.15,Bank transfer (automatic),1.0,Telecom
TEL_9919-YLNNG,Female,54,42,103.8,Bank transfer (automatic),0.0,Telecom
TEL_0318-ZOPWS,Female,58,49,20.15,Bank transfer (automatic),0.0,Telecom
TEL_4445-ZJNMU,Male,20,9,99.3,Credit card (automatic),0.0,Telecom
TEL_4808-YNLEU,Female,34,35,62.15,Bank transfer (automatic),0.0,Telecom
TEL_1862-QRWPE,Female,29,48,20.65,Bank transfer (automatic),0.0,Telecom
TEL_2796-NNUFI,Female,53,46,19.95,Mailed check,0.0,Telecom
TEL_3016-KSVCP,Male,66,29,33.75,Mailed check,0.0,Telecom
TEL_4767-HZZHQ,Male,40,30,82.05,Bank transfer (automatic),0.0,Telecom
TEL_2424-WVHPL,Male,62,1,74.7,Electronic check,0.0,Telecom
TEL_7233-PAHHL,Male,50,66,84.0,Mailed check,0.0,Telecom
TEL_6067-NGCEU,Female,61,65,111.05,Credit card (automatic),0.0,Telecom
TEL_9848-JQJTX,Male,37,72,100.9,Bank transfer (automatic),0.0,Telecom
TEL_8637-XJIVR,Female,46,12,78.95,Electronic check,1.0,Telecom
TEL_9803-FTJCG,Male,22,71,66.85,Credit card (automatic),0.0,Telecom
TEL_0278-YXOOG,Male,53,5,21.05,Mailed check,1.0,Telecom
TEL_3212-KXOCR,Male,66,52,21.0,Bank transfer (automatic),0.0,Telecom
TEL_4598-XLKNJ,Female,38,25,98.5,Electronic check,1.0,Telecom
TEL_6380-ARCEH,Male,31,1,20.2,Mailed check,0.0,Telecom
TEL_3679-XASPY,Female,24,1,19.45,Electronic check,0.0,Telecom
TEL_7123-WQUHX,Male,20,38,95.0,Bank transfer (automatic),0.0,Telecom
TEL_5386-THSLQ,Female,50,66,45.55,Bank transfer (automatic),0.0,Telecom
TEL_3192-NQECA,Male,60,68,110.0,Bank transfer (automatic),1.0,Telecom
TEL_6180-YBIQI,Male,31,5,24.3,Mailed check,0.0,Telecom
TEL_6728-DKUCO,Female,39,72,104.15,Electronic check,0.0,Telecom
TEL_9750-BOOHV,Female,57,32,30.15,Mailed check,0.0,Telecom
TEL_8597-CWYHH,Male,40,43,94.35,Mailed check,0.0,Telecom
TEL_2848-YXSMW,Male,45,72,19.4,Credit card (automatic),0.0,Telecom
TEL_0486-HECZI,Male,69,55,96.75,Electronic check,1.0,Telecom
TEL_4549-ZDQYY,Female,32,52,57.95,Credit card (automatic),0.0,Telecom
TEL_5712-AHQNN,Female,44,43,91.65,Electronic check,0.0,Telecom
TEL_4846-WHAFZ,Female,30,37,76.5,Electronic check,1.0,Telecom
TEL_5256-SKJGO,Female,70,64,54.6,Electronic check,0.0,Telecom
TEL_3071-VBYPO,Male,52,3,89.85,Electronic check,0.0,Telecom
TEL_9560-BBZXK,Female,54,36,31.05,Bank transfer (automatic),0.0,Telecom
TEL_5299-RULOA,Female,67,10,100.25,Electronic check,1.0,Telecom
TEL_8402-OOOHJ,Female,65,41,20.65,Mailed check,0.0,Telecom
TEL_9445-ZUEQE,Male,67,27,85.2,Credit card (automatic),0.0,Telecom
TEL_1091-SOZGA,Female,54,56,99.8,Credit card (automatic),0.0,Telecom
TEL_2928-HLDBA,Female,37,6,20.7,Mailed check,0.0,Telecom
TEL_0404-SWRVG,Male,63,3,74.4,Electronic check,1.0,Telecom
TEL_6497-TILVL,Female,29,7,50.7,Mailed check,0.0,Telecom
TEL_7219-TLZHO,Female,28,4,20.85,Mailed check,0.0,Telecom
TEL_4622-YNKIJ,Male,54,33,88.95,Electronic check,0.0,Telecom
TEL_4412-YLTKF,Female,20,27,78.05,Electronic check,1.0,Telecom
TEL_6734-PSBAW,Male,40,72,23.55,Bank transfer (automatic),0.0,Telecom
TEL_3930-ZGWVE,Male,37,1,19.75,Mailed check,0.0,Telecom
TEL_2639-UGMAZ,Male,39,71,56.45,Electronic check,0.0,Telecom
TEL_2876-GZYZC,Female,22,13,85.95,Electronic check,0.0,Telecom
TEL_6207-WIOLX,Female,35,25,58.6,Credit card (automatic),1.0,Telecom
TEL_8587-XYZSF,Male,37,67,50.55,Bank transfer (automatic),0.0,Telecom
TEL_3091-FYHKI,Male,33,1,35.45,Electronic check,1.0,Telecom
TEL_2372-HWUHI,Male,46,2,44.35,Electronic check,1.0,Telecom
TEL_7799-LGRDP,Female,60,43,25.7,Credit card (automatic),0.0,Telecom
TEL_7850-VWJUU,Female,49,23,75.0,Bank transfer (automatic),0.0,Telecom
TEL_3774-VBNXY,Female,67,64,20.2,Mailed check,0.0,Telecom
TEL_6217-KDYWC,Male,59,57,19.6,Mailed check,0.0,Telecom
TEL_0390-DCFDQ,Female,43,1,70.45,Mailed check,1.0,Telecom
TEL_3146-MSEGF,Female,40,72,88.05,Credit card (automatic),0.0,Telecom
TEL_4080-OGPJL,Female,34,8,71.15,Electronic check,1.0,Telecom
TEL_1095-WGNGG,Female,70,61,101.05,Bank transfer (automatic),0.0,Telecom
TEL_2636-SJDOU,Male,21,64,84.3,Credit card (automatic),0.0,Telecom
TEL_1131-QQZEB,Male,27,71,23.95,Bank transfer (automatic),0.0,Telecom
TEL_5716-EZXZN,Female,36,65,99.05,Credit card (automatic),0.0,Telecom
TEL_6837-BJYDQ,Male,29,3,19.6,Mailed check,0.0,Telecom
TEL_2135-RXIHG,Male,69,1,45.65,Electronic check,1.0,Telecom
TEL_6440-DKQGE,Male,58,30,64.5,Credit card (automatic),0.0,Telecom
TEL_3466-BYAVD,Male,27,15,69.5,Mailed check,0.0,Telecom
TEL_3780-YVMFA,Female,38,8,68.55,Electronic check,0.0,Telecom
TEL_3874-EQOEP,Male,33,7,95.0,Mailed check,1.0,Telecom
TEL_1679-JRFBR,Female,52,70,108.15,Credit card (automatic),0.0,Telecom
TEL_9073-ZZIAY,Male,65,62,86.1,Electronic check,0.0,Telecom
TEL_3077-RSNTJ,Female,66,6,19.7,Mailed check,0.0,Telecom
TEL_6551-GNYDG,Female,54,14,80.9,Bank transfer (automatic),0.0,Telecom
TEL_9167-APMXZ,Female,46,22,84.15,Bank transfer (automatic),0.0,Telecom
TEL_2749-CTKAJ,Male,32,22,20.15,Mailed check,0.0,Telecom
TEL_6371-NZYEG,Male,49,16,64.25,Mailed check,0.0,Telecom
TEL_7554-NEWDD,Male,37,10,25.7,Bank transfer (automatic),0.0,Telecom
TEL_8992-VONJD,Female,55,13,56.0,Electronic check,0.0,Telecom
TEL_0867-MKZVY,Female,41,20,82.4,Electronic check,1.0,Telecom
TEL_4482-EWFMI,Female,56,2,69.7,Electronic check,0.0,Telecom
TEL_4648-YPBTM,Male,47,53,73.9,Bank transfer (automatic),0.0,Telecom
TEL_2907-ILJBN,Female,43,11,20.6,Mailed check,0.0,Telecom
TEL_6345-FZOQH,Male,53,69,19.9,Mailed check,0.0,Telecom
TEL_3376-BMGFE,Female,61,4,70.9,Bank transfer (automatic),1.0,Telecom
TEL_5997-OPVFA,Male,22,72,89.05,Bank transfer (automatic),0.0,Telecom
TEL_3445-HXXGF,Male,28,58,45.3,Electronic check,1.0,Telecom
TEL_1159-WFSGR,Female,39,16,20.4,Electronic check,0.0,Telecom
TEL_7654-YWJUF,Male,41,43,84.25,Bank transfer (automatic),0.0,Telecom
TEL_1875-QIVME,Female,42,2,104.4,Electronic check,1.0,Telecom
TEL_6727-IOTLZ,Male,34,14,81.95,Mailed check,0.0,Telecom
TEL_0691-JVSYA,Female,43,53,94.85,Bank transfer (automatic),1.0,Telecom
TEL_5918-VUKWP,Female,36,32,20.55,Bank transfer (automatic),0.0,Telecom
TEL_1744-JHKYS,Female,26,34,24.7,Electronic check,0.0,Telecom
TEL_2656-FMOKZ,Female,43,15,74.45,Mailed check,1.0,Telecom
TEL_2070-FNEXE,Female,40,7,76.45,Bank transfer (automatic),1.0,Telecom
TEL_5947-SGKCL,Female,40,15,105.35,Bank transfer (automatic),0.0,Telecom
TEL_3712-PKXZA,Male,53,61,20.55,Credit card (automatic),0.0,Telecom
TEL_6317-YPKDH,Female,59,1,29.95,Bank transfer (automatic),1.0,Telecom
TEL_6582-OIVSP,Female,20,1,45.3,Mailed check,0.0,Telecom
TEL_9367-WXLCH,Male,54,8,84.5,Bank transfer (automatic),1.0,Telecom
TEL_5524-KHNJP,Male,44,33,74.75,Credit card (automatic),0.0,Telecom
TEL_1918-ZBFQJ,Female,56,13,79.25,Electronic check,1.0,Telecom
TEL_1024-GUALD,Female,46,1,24.8,Electronic check,1.0,Telecom
TEL_4827-USJHP,Male,60,20,51.8,Mailed check,0.0,Telecom
TEL_8167-GJLRN,Male,60,3,30.4,Electronic check,0.0,Telecom
TEL_0956-SYCWG,Female,22,13,19.65,Electronic check,0.0,Telecom
TEL_8017-UVSZU,Female,38,40,56.6,Credit card (automatic),0.0,Telecom
TEL_7100-FQPRV,Male,54,43,71.9,Credit card (automatic),0.0,Telecom
TEL_2472-OVKUP,Male,37,6,91.0,Electronic check,1.0,Telecom
TEL_2984-RGEYA,Female,58,69,19.75,Bank transfer (automatic),0.0,Telecom
TEL_9680-NIAUV,Female,58,72,109.7,Credit card (automatic),0.0,Telecom
